timestamp,sensor,value
2015-11-20T00:00:06+00:00,23,25.481
2015-11-20T00:00:06+00:00,24,25.6
2015-11-20T00:00:06+00:00,25,30.334
2015-11-20T00:00:06+00:00,1,8.3
2015-11-20T00:00:06+00:00,2,11.3
2015-11-20T00:00:06+00:00,3,9526.0
2015-11-20T00:00:06+00:00,4,709.0
2015-11-20T00:00:06+00:00,5,690.9
2015-11-20T00:00:06+00:00,6,684.0
2015-11-20T00:00:06+00:00,7,719.4
2015-11-20T00:00:06+00:00,8,688.8
2015-11-20T00:00:06+00:00,9,661.7
2015-11-20T00:00:06+00:00,10,827.7
2015-11-20T00:00:06+00:00,11,832.1
2015-11-20T00:00:06+00:00,12,794.9
2015-11-20T00:00:06+00:00,13,818.4
2015-11-20T00:00:06+00:00,14,924.4
2015-11-20T00:00:06+00:00,15,912.6
2015-11-20T00:00:06+00:00,16,61.068
2015-11-20T00:00:06+00:00,17,3.5
2015-11-20T00:00:06+00:00,18,827.7
2015-11-20T00:00:06+00:00,19,855.6
2015-11-20T00:00:06+00:00,22,25.405
2015-11-20T00:00:06+00:00,23,25.5
2015-11-20T00:00:06+00:00,24,25.6
2015-11-20T00:00:06+00:00,25,30.334
2015-11-20T00:00:06+00:00,20,705.3
2015-11-20T00:00:07+00:00,21,11.3
2015-11-20T00:00:07+00:00,22,25.384
2015-11-20T00:00:07+00:00,23,25.48
2015-11-20T00:00:07+00:00,24,25.6
2015-11-20T00:00:07+00:00,25,30.333
2015-11-20T00:00:07+00:00,1,8.3
2015-11-20T00:00:07+00:00,2,11.3
2015-11-20T00:00:07+00:00,3,9523.0
2015-11-20T00:00:07+00:00,4,709.4
2015-11-20T00:00:07+00:00,5,690.7
2015-11-20T00:00:07+00:00,6,684.0
2015-11-20T00:00:07+00:00,7,721.3
2015-11-20T00:00:07+00:00,8,688.7
2015-11-20T00:00:07+00:00,9,660.8
2015-11-20T00:00:07+00:00,10,826.6
2015-11-20T00:00:07+00:00,11,832.7
2015-11-20T00:00:07+00:00,12,794.8
2015-11-20T00:00:07+00:00,13,817.5
